event,event_date,asset,asset_name,day,AR,CAR,direction
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-5,0.6704912220038096,0.6704912220038096,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-4,-0.3111798869445103,0.3593113350592993,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-3,-1.0370909099103056,-0.6777795748510063,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-2,-5.2749127787079555,-5.9526923535589615,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-1,1.3617306141385424,-4.590961739420419,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,0,-2.36348504044795,-6.95444677986837,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,1,3.7032469275667674,-3.2511998523016024,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,2,0.5929075619236517,-2.6582922903779505,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,3,-2.2209479624146984,-4.879240252792648,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,4,-1.3406098689764745,-6.219850121769123,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,5,-4.3686732895411655,-10.588523411310288,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,6,0.8021746493358384,-9.786348761974448,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,7,-1.7287126169687448,-11.515061378943193,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,8,-0.05167363142126957,-11.566735010364463,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,9,-0.935052566166954,-12.501787576531417,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,10,1.169357517733863,-11.332430058797554,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-5,3.4659291248661765,3.4659291248661765,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-4,-1.0486771716435799,2.4172519532225967,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-3,3.3956972167932236,5.81294917001582,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-2,-3.035953031321631,2.7769961386941886,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-1,1.1139257034493193,3.890921842143508,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,0,-1.219176959911401,2.671744882232107,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,1,-3.4920611762397282,-0.8203162940076214,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,2,-0.041317739233810324,-0.8616340332414317,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,3,-1.4410371242889286,-2.3026711575303604,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,4,-1.917255846759948,-4.219927004290309,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,5,1.6540397146336745,-2.5658872896566343,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,6,0.19592035626349558,-2.3699669333931386,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,7,-0.9030138021858054,-3.272980735578944,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,8,-1.2061925198412609,-4.479173255420205,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,9,-0.5408946802215859,-5.020067935641791,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,10,4.145807591639499,-0.874260344002292,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-5,-2.9564039819082124,-2.9564039819082124,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-4,2.9278772451925428,-0.02852673671566963,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-3,-1.5480478625443654,-1.576574599260035,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-2,0.3832126123450387,-1.1933619869149963,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-1,0.6386575890350574,-0.5547043978799389,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,0,3.971441163573475,3.4167367656935363,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,1,0.34642345695084087,3.763160222644377,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,2,0.3236576473354587,4.086817869979836,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,3,-0.13532159577628033,3.9514962742035555,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,4,-1.8573152145790164,2.094181059624539,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,5,-2.374529139668735,-0.2803480800441962,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,6,-0.6591373581786566,-0.9394854382228528,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,7,-1.6057544195887394,-2.545239857811592,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,8,-3.0775851707778945,-5.622825028589487,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,9,-0.028020964494752165,-5.650845993084239,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,10,-2.401202113071749,-8.052048106155988,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-5,-2.3584893626549928,-2.3584893626549928,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-4,-1.4519434384313836,-3.8104328010863764,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-3,0.2508679545386946,-3.5595648465476817,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-2,-2.0344513842732113,-5.594016230820893,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-1,-0.12135306690684922,-5.715369297727742,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,0,-0.31123486532660083,-6.026604163054342,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,1,-0.6453692957246588,-6.671973458779001,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,2,0.17348674595190033,-6.4984867128271,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,3,0.9867486787654194,-5.511738034061681,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,4,3.1803012170043647,-2.331436817057316,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,5,0.09566377971756945,-2.2357730373397464,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,6,-2.001920460064086,-4.237693497403832,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,7,2.210646331104555,-2.027047166299277,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,8,0.566768099175874,-1.4602790671234032,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,9,2.896526141895057,1.436247074771654,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,10,-0.6964564912952858,0.7397905834763683,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-5,0.9930280167377343,0.9930280167377343,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-4,-0.7458183678608575,0.2472096488768768,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-3,3.3600834872812135,3.6072931361580904,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-2,2.545025285727239,6.1523184218853295,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-1,-0.33577024345022205,5.816548178435108,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,0,1.8875301018263488,7.704078280261457,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,1,-2.2796085231346663,5.42446975712679,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,2,-2.8683957942185234,2.5560739629082665,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,3,-0.949645427025648,1.6064285358826185,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,4,-1.577785135505183,0.028643400377435402,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,5,1.7258145399273588,1.7544579403047942,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,6,-0.216230255147645,1.5382276851571492,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,7,-0.6861981446054041,0.8520295405517452,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,8,2.5843448704199403,3.4363744109716854,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,9,0.12040539164821629,3.556779802619902,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,10,-1.2267330807317705,2.3300467218881313,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,-5,0.7694449920502956,0.7694449920502956,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,-4,0.4325878916308832,1.2020328836811789,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,-3,-2.409162676806819,-1.20712979312564,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,-2,-0.4944523491216226,-1.7015821422472626,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,-1,-0.9405516836034482,-2.6421338258507108,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,0,1.4640931244172786,-1.1780407014334322,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,1,-1.4717171691149242,-2.649757870548356,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,2,-1.6091196296771617,-4.258877500225518,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,3,-0.46855098200781164,-4.7274284822333295,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,4,0.8389078583716459,-3.8885206238616834,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,5,0.7672891248384572,-3.121231499023226,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,6,0.7771312088971577,-2.3441002901260686,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,7,-1.7270331598148259,-4.071133449940895,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,8,0.30838923013432573,-3.762744219806569,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,9,-1.194412206327789,-4.957156426134358,green_positive
COP26 Glasgow Opens,2021-11-01,XLE,Fossil Fuels,10,0.7546244544552139,-4.202531971679145,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,-5,0.48506489360387484,0.48506489360387484,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,-4,2.2308813885965577,2.7159462822004325,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,-3,-1.6493252451659346,1.066621037034498,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,-2,-0.6583697307238328,0.4082513063106652,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,-1,-0.7537595012010144,-0.34550819489034923,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,0,-1.7084419225730514,-2.0539501174634007,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,1,0.03596154803581686,-2.017988569427584,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,2,-0.2972141618178653,-2.3152027312454493,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,3,-1.776522146167054,-4.091724877412503,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,4,0.16086771908456643,-3.930857158327936,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,5,0.16480037479279955,-3.7660567835351366,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,6,1.4193531492803848,-2.3467036342547516,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,7,0.49941843282747267,-1.847285201427279,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,8,0.6611089619671597,-1.1861762394601192,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,9,-0.7332836464381567,-1.9194598858982759,green_positive
Inflation Reduction Act Signed,2022-08-16,ICLN,Clean Energy,10,-0.1983896049920424,-2.1178494908903183,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,-5,1.8735640536423062,1.8735640536423062,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,-4,-0.5865194324004038,1.2870446212419022,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,-3,3.2837134662054708,4.570758087447373,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,-2,-0.31922262954587355,4.2515354579015,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,-1,-2.3064652452083387,1.9450702126931616,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,0,-0.44638547341711343,1.4986847392760483,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,1,1.1458003268477153,2.6444850661237638,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,2,2.3847696215622003,5.029254687685964,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,3,0.6625270213852806,5.691781709071245,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,4,0.9353569030647921,6.627138612136037,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,5,3.584890915348041,10.212029527484079,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,6,0.9375001983702482,11.149529725854327,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,7,-0.1466313516608626,11.002898374193464,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,8,0.726493313568404,11.729391687761868,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,9,1.7846951810313434,13.514086868793212,green_positive
Inflation Reduction Act Signed,2022-08-16,XLE,Fossil Fuels,10,-2.904974594878754,10.609112273914459,green_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,-5,0.7549148777464949,0.7549148777464949,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,-4,-2.8712603474140566,-2.1163454696675617,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,-3,1.648673532176114,-0.46767193749144775,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,-2,-0.7376993316739691,-1.2053712691654168,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,-1,-2.259379716812235,-3.464750985977652,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,0,2.4054980577636673,-1.0592529282139846,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,1,0.20273496380373213,-0.8565179644102525,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,2,-1.778774140541213,-2.6352921049514655,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,3,-0.8922505048790177,-3.5275426098304834,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,4,2.3811943044894885,-1.1463483053409949,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,5,1.2175633570366273,0.07121505169563247,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,6,-1.6852736527966874,-1.614058601101055,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,7,-1.0294743514190139,-2.6435329525200686,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,ICLN,Clean Energy,8,0.9890268467434847,-1.654506105776584,brown_positive
